Index,Lower Limit,Value,Upper Limit
MA1,   28.000,   47.242,   55.000
MA2,   28.000,   34.000,   55.000
MA3,   25.834,   73.324,  120.813
MA4,NC,   49.929,NC
MA5,NC,    1.389,NC
MA6,NC,    3.000,NC
MA7,NC,    2.185,NC
MA8,NC,    1.964,NC
MA9,NC,    1.471,NC
MA10,NC,    0.941,NC
MA11,NC,    0.794,NC
MA12,   31.516,   31.581,   31.645
MA13,   28.464,   33.577,   38.690
MA14,   38.226,   60.726,   83.226
MA15,   34.900,   60.683,   86.467
MA16,   29.839,   44.016,   58.194
MA17,   26.133,   45.367,   64.600
MA18,   29.000,   84.597,  140.194
MA19,   26.645,   49.935,   73.226
MA20,   34.200,   48.117,   62.033
MA21,   24.097,   29.065,   34.032
MA22,   40.500,   41.417,   42.333
MA23,   36.194,   36.855,   37.516
MA24,    6.124,   13.650,   21.175
MA25,   22.657,   31.266,   39.875
MA26,   14.701,   46.567,   78.432
MA27,   17.604,   28.625,   39.645
MA28,    7.245,   10.802,   14.360
MA29,    6.414,   21.115,   35.817
MA30,   19.323,   59.470,   99.618
MA31,   12.985,   27.929,   42.874
MA32,   21.147,   22.598,   24.050
MA33,    5.288,   45.858,   86.429
MA34,   37.176,   46.419,   55.662
MA35,   13.128,   20.514,   27.899
MA36,NC,    3.150,NC
MA37,NC,    0.836,NC
MA38,NC,    1.586,NC
MA39,NC,   56.982,NC
MA40,NC,    0.280,NC
MA41,    0.729,    1.027,    1.325
MA42,NC,    0.580,NC
MA43,NC,    0.580,NC
MA44,NC,    0.580,NC
MA45,NC,    0.000,NC
ML1,   26.000,   27.000,   28.000
ML2,   23.000,   25.000,   27.000
ML3,   25.000,   28.500,   32.000
ML4,   27.000,   43.000,   59.000
ML5,   27.000,   37.000,   47.000
ML6,   23.000,   34.500,   46.000
ML7,   23.000,   37.000,   51.000
ML8,   24.000,   40.500,   57.000
ML9,   27.000,   40.000,   53.000
ML10,   20.000,   21.000,   22.000
ML11,   23.000,   26.000,   29.000
ML12,   30.000,   31.500,   33.000
ML13,NC,   37.401,NC
ML14,    0.407,    0.526,    0.645
ML15,    0.361,    0.478,    0.596
ML16,    0.407,    0.526,    0.645
ML17,    0.410,    0.503,    0.596
ML18,NC,   26.160,NC
ML19,   36.082,   47.848,   59.614
ML20,NC,    0.752,NC
ML21,NC,    6.734,NC
ML22,    0.435,    0.457,    0.478
MH1,   37.000,   49.000,   61.000
MH2,   48.000,   71.000,   94.000
MH3,   53.000,  146.000,  239.000
MH4,   49.000,  122.500,  196.000
MH5,   36.000,   56.500,   77.000
MH6,   29.000,   85.000,  141.000
MH7,   50.000,  391.500,  733.000
MH8,   42.000,  133.000,  224.000
MH9,   56.000,   92.500,  129.000
MH10,   28.000,  102.000,  176.000
MH11,   95.000,  111.500,  128.000
MH12,   50.000,   64.500,   79.000
MH13,NC,  122.147,NC
MH14,    5.677,    9.626,   13.574
MH15,NC,    6.052,NC
MH16,NC,    2.206,NC
MH17,NC,    1.618,NC
MH18,NC,   17.145,NC
MH19,NC,   -1.#IO,NC
MH20,    3.826,    9.880,   15.935
MH21,    3.600,   11.296,   14.961
MH22,    2.176,    6.059,    6.357
MH23,    7.539,    7.539,    7.539
MH24,    1.118,    2.400,    2.324
MH25,    3.721,    5.935,    6.081
MH26,    7.029,   14.539,   21.559
MH27,    1.794,    3.726,    3.772
FL1,    8.000,   13.000,   18.000
FL2,NC,   54.393,NC
FL3,    0.000,    0.000,    0.000
FH1,    8.000,   11.000,   14.000
FH2,NC,   38.569,NC
FH3,    1.000,   18.500,   36.000
FH4,    0.000,    1.500,    3.000
FH5,   10.000,   15.500,   21.000
FH6,    1.000,    7.000,   13.000
FH7,    0.000,    1.500,    3.000
FH8,    8.000,   11.000,   14.000
FH9,    9.000,   14.000,   19.000
FH10,    1.000,    2.000,    3.000
FH11,    0.000,    0.000,    0.000, ,1.67 year threshold =    -1.#IO
DL1,   20.000,   21.000,   22.000
DL2,   20.667,   21.833,   23.000
DL3,   20.857,   22.143,   23.429
DL4,   24.000,   24.733,   25.467
DL5,   27.056,   29.511,   31.966
DL6,NC,    6.734,NC
DL7,NC,    7.557,NC
DL8,NC,    8.212,NC
DL9,NC,    4.193,NC
DL10,NC,   11.767,NC
DL11,    0.588,    0.618,    0.647
DL12,    0.613,    0.651,    0.689
DL13,    0.706,    0.727,    0.749
DL14,NC,    0.824,NC
DL15,NC,    0.735,NC
DL16,    5.222,    6.861,    8.500
DL17,NC,   33.781,NC
DL18,    0.000,    0.000,    0.000
DL19,NC,NC,NC
DL20,NC,    0.000,NC
DH1,  176.000,  454.500,  733.000
DH2,   97.667,  236.500,  375.333
DH3,   71.143,  190.214,  309.286
DH4,   48.933,   96.767,  144.600
DH5,   40.356,   67.350,   94.344
DH6,NC,   86.658,NC
DH7,NC,   83.019,NC
DH8,NC,   88.528,NC
DH9,NC,   69.907,NC
DH10,NC,   56.683,NC
DH11,    5.176,   13.368,   21.559
DH12,    2.092,    5.595,    9.097
DH13,    1.439,    2.846,    4.253
DH14,NC,    2.688,NC
DH15,    1.625,    6.705,   11.786
DH16,NC,  107.149,NC
DH17,    5.333,   14.367,   23.400
DH18,    1.000,    1.885,    2.769
DH19,    1.000,    1.000,    1.000
DH20,    1.625,    6.705,   11.786
DH21,   12.789,   22.450,   32.111
DH22,   12.789,   12.789,   12.789
DH23,    0.000,    0.000,    0.000
DH24,   12.789,   12.789,   12.789
TA1,NC,    0.688,NC
TA2,NC,   82.655,NC
TA3,NC,NC,NC
TL1,NC,  285.500,NC
TL2,NC,    5.498,NC
TL3,NC,    1.000,NC, ,5 year threshold =    -1.#IO
TL4,NC,    0.000,NC
TH1,NC,  243.000,NC
TH2,NC,   52.971,NC
TH3,NC,    1.003,NC
RA1,    1.000,   18.205,   12.000
RA2,NC,  280.301,NC
RA3,    1.000,    9.117,    5.000
RA4,NC,  390.597,NC
RA5,NC,    0.267,NC
RA6,    0.039,    0.098,    0.242
RA7,    0.035,    0.055,    0.115
RA8,  106.000,  112.500,  119.000
RA9,NC,    8.171,NC
